"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"17699-20805","SG","Troy","","Daniels","13.090624809265137","32","3500","MEM@WAS","MEM","WAS","","","",""
"17699-20806","SF","Treveon","","Graham","3.258333206176758","12","3500","POR@CHA","CHA","POR","","","",""
"17699-16202","C","Rakeem","","Christmas","3.366666793823242","3","3500","IND@SAC","IND","SAC","","","",""
"17699-9547","SF","Mike","","Dunleavy","9.15769254244291","26","3500","ATL@DET","ATL","DET","","","",""
"17699-17230","SG","Langston","","Galloway","15.214633848608994","41","3500","ORL@NO","NO","ORL","","","",""
"17699-9553","C","Roy","","Hibbert","12.282353120691637","34","3500","POR@CHA","CHA","POR","","","",""
"17699-17747","SG","Ian","","Clark","11.200000160618833","38","3500","OKC@GS","GS","OKC","","","",""
"17699-11100","SG","Reggie","","Williams","8.84000015258789","5","3500","ORL@NO","NO","ORL","","","",""
"17699-9567","SG","Sasha","","Vujacic","5.252174045728601","23","3500","NY@BOS","NY","BOS","","","",""
"17699-15727","SG","Ben","","McLemore","8.203225904895413","31","3500","IND@SAC","SAC","IND","","","",""
"17699-40819","PF","Jarell","","Martin","9.678947047183389","38","3500","MEM@WAS","MEM","WAS","","","",""
"17699-74101","PG","Bobby","","Brown","1.0300000190734864","10","3500","MIL@HOU","HOU","MIL","","","",""
"17699-16246","SG","Sheldon","","McClellan","7.244444105360243","18","3500","MEM@WAS","WAS","MEM","","","",""
"17699-40830","PG","Delon","","Wright","7.40370347764757","27","3500","TOR@PHI","TOR","PHI","O","Shoulder","",""
"17699-9605","PG","Ramon","","Sessions","12.426829268292684","41","3500","POR@CHA","CHA","POR","","","",""
"17699-9606","SF","Corey","","Brewer","8.953488372093023","43","3500","MIL@HOU","HOU","MIL","","","",""
"17699-9609","C","Al","","Jefferson","15.18249969482422","40","3500","IND@SAC","IND","SAC","","","",""
"17699-18828","SG","Joe","","Young","4.6400001525878904","20","3500","IND@SAC","IND","SAC","","","",""
"17699-66455","PF","Henry","","Ellenson","2.5307693481445312","13","3500","ATL@DET","DET","ATL","","","",""
