gid,name,espn_id,espn_name,team,gp,gs,min,fg,fga,3p,3pa,ft,fta,orb,drb,rb,ast,stl,blk,to,pf,dq,+/-,dd,td,fanduel pts,draftkings pts,draftday pts,yahoo pts,fanduel position,fanduel salary,draftkings position,draftkings salary,draftday position,draftday salary,yahoo position,yahoo salary,team pts,oppt pts,total pts
3547,"Korver, Kyle",2011,"Korver, Kyle",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4200,23,4500,23,6650,2,11,0,0,0
5014,"Kuzminskas, Mindaugas",0,"Kuzminskas, Mindaugas",nyk,1,0,10.18333333,0,2,0,2,0,0,0,0,0,1,1,0,2,1,0,7,0,0,1.5,2.5,2,1.5,3,3600,3,3000,3,5000,3,10,97,98,195
4768,"Lauvergne, Joffrey",2959753,"Lauvergne, Joffrey",okc,1,0,7.416666667,1,1,0,0,2,2,0,1,1,0,0,0,0,1,0,-4,0,0,5.2,5.25,5.25,5.2,5,3500,5,3000,45,7300,4,10,75,71,146
4706,"LaVine, Zach",3064440,"LaVine, Zach",min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6200,2,6500,12,12850,2,27,95,77,172
4997,"Layman, Jake",0,"Layman, Jake",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,4,3000,4,5000,4,10,0,0,0
4110,"Lee, Courtney",3445,"Lee, Courtney",nyk,1,1,27.48333333,3,7,0,3,1,1,1,1,2,4,0,0,1,2,0,-12,0,0,14.4,15,14,14.4,2,4200,2,4000,23,8950,2,11,97,98,195
4521,"Leonard, Meyers",6605,"Leonard, Meyers",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,45,3000,45,6500,5,10,0,0,0
4362,"Liggins, DeAndre",6453,"Liggins, DeAndre",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3600,2,3100,23,5000,2,10,0,0,0
4523,"Lillard, Damian",6606,"Lillard, Damian",por,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9000,1,8500,1,19850,1,41,0,0,0
4074,"Love, Kevin",3449,"Love, Kevin",cle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8100,45,8100,45,15050,4,40,0,0,0
4918,"Luwawu, Timothe",0,"Luwawu, Timothe",phi,1,0,12.43333333,2,4,0,1,1,2,1,1,2,1,1,0,0,3,0,-1,0,0,10.9,11,10.25,10.9,2,3500,23,3000,23,5000,3,10,98,97,195
3777,"Mahinmi, Ian",2774,"Mahinmi, Ian",was,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3900,5,3000,5,5000,5,10,91,98,189
4850,"Martin, Jarell",0,"Martin, Jarell",mem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3500,45,3000,45,5000,5,10,71,75,146
4113,"Mbah a Moute, Luc",3451,"Mbah a Moute, Luc",lac,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3500,34,3000,34,5000,3,10,0,0,0
